Sub-Category,Total_Sales,Total_Profit,Total_Quantity,Profit_Margin_pct
Tables,22614.0,-4011.0,61,-17.736800212257894
Electronic Games,39168.0,-1236.0,297,-3.1556372549019605
Kurti,3361.0,181.0,164,5.38530199345433
Skirt,1946.0,235.0,248,12.076053442959918
Leggings,2106.0,260.0,186,12.345679012345679
Saree,53511.0,352.0,782,0.6578086748518996
Chairs,34222.0,577.0,277,1.6860499094149963
Furnishings,13484.0,844.0,310,6.259270246217739
Shirt,7555.0,1131.0,271,14.970218398411648
T-shirt,7382.0,1500.0,305,20.31969655919805
